file|total|guarded|unguarded
intelligence.ts|27|18|9
careersPortal.ts|9|0|9
dashboard.ts|7|0|7
auth.ts|7|0|7
mySpace.ts|6|0|6
moduleDashboards.ts|11|5|6
hr.ts|110|104|6
communications.ts|19|13|6
pdpl.ts|5|1|4
publicData.ts|3|0|3
index.ts|2|0|2
health.ts|2|0|2
approvalActions.ts|2|0|2
storage.ts|3|2|1
permissions.ts|7|6|1
clientPortal.ts|1|0|1
activityIngest.ts|1|0|1
actionCenter.ts|1|0|1
