notification_fallback_chains|t|f|f|t|t
notification_log|t|f|f|t|f
notification_preferences|t|f|f|t|t
notification_routing_rules|t|f|f|t|t
notification_templates|t|f|f|t|t
notification_webhooks|t|f|f|t|t
notifications|t|f|f|t|f
obligations|t|t|f|t|t
official_letters|t|t|t|t|f
onboarding_tasks|t|f|f|t|t
password_reset_requests|f|f|f|t|f
payment_run_items|f|f|f|f|f
payment_runs|t|t|f|t|f
payroll_deductions|t|f|t|t|f
payroll_lines|f|f|t|f|f
payroll_records|t|t|t|t|f
payroll_runs|t|t|t|t|f
pbx_calls|t|f|f|t|f
peer_evaluations|t|f|f|t|f
performance_reviews|t|f|t|t|t
permissions|t|f|f|t|t
policy_compliance_actions|t|f|t|t|t
policy_module_links|t|f|f|t|f
privacy_consent_records|t|f|f|t|f
proactive_rules|t|f|f|t|f
processing_activities_log|t|f|f|t|f
products|t|f|f|t|f
project_costs|t|f|f|t|f
project_milestones|t|f|f|t|f
project_phases|f|f|f|t|f
project_resources|t|f|f|t|f
project_risks|t|f|f|t|f
project_task_dependencies|f|f|f|f|f
project_tasks|f|f|f|t|f
projects|t|f|t|t|t
property_buildings|t|f|t|t|t
property_contracts|t|f|f|t|t
property_inspections|t|f|f|t|t
property_owners|t|f|t|t|t
property_security_deposits|t|f|f|t|f
property_units|t|t|t|t|t
public_announcements|t|f|f|t|t
public_holidays|t|f|t|t|t
purchase_order_items|f|f|f|t|f
purchase_order_lines|f|f|f|t|f
purchase_orders|t|t|t|t|f
purchase_request_items|f|f|f|t|f
purchase_requests|t|t|f|t|t
push_subscriptions|t|f|f|t|t
quality_checks|t|f|f|t|f
recurring_journal_runs|t|f|f|t|f
recurring_journals|t|t|t|t|t
refresh_tokens|f|f|f|t|f
rent_payments|f|f|f|t|t
rental_contracts|t|f|t|t|t
request_types|t|f|f|t|t
requests|t|t|t|t|t
role_permissions|t|f|f|t|f
roles|f|f|f|t|f
salary_components|t|f|f|t|t
salary_history|t|f|f|t|f
scheduled_report_history|f|f|f|f|f
scheduled_reports|t|f|f|t|t
schema_migrations|f|f|f|f|f
security_log|t|f|f|t|f
settings|f|f|f|f|t
shifts|t|t|t|t|t
sla_definitions|t|f|f|t|f
smart_alerts|t|f|f|t|f
smart_recommendations|t|f|f|t|f
sms_queue|t|f|f|t|t
stock_transfer_items|f|f|f|t|f
stock_transfers|t|f|f|t|t
store_order_items|f|f|f|t|f
store_orders|t|t|t|t|t
store_products|t|f|t|t|t
subsidiary_accounts|t|f|t|t|f
suppliers|t|f|t|t|f
support_tickets|t|f|t|t|t
system_evaluations|t|f|f|t|f
system_settings|t|t|f|f|t
system_stops|t|f|f|t|t
tasks|t|t|t|t|f
technicians|t|f|f|t|f
tenants|t|f|t|t|t
ticket_csat_ratings|t|f|f|t|t
ticket_escalations|f|f|f|t|f
ticket_replies|f|f|t|t|f
training_courses|t|f|f|t|f
training_enrollments|f|f|t|t|f
training_participants|f|f|f|t|f
training_programs|t|f|t|t|t
trainings|t|f|f|t|f
umrah_agent_invoices|t|f|f|t|t
umrah_agents|t|t|t|t|t
umrah_groups|t|t|t|t|t
umrah_import_batches|t|t|f|t|t
umrah_import_changes|t|t|t|t|t
umrah_import_logs|t|f|f|t|f
umrah_nusk_invoices|t|t|t|t|t
umrah_packages|t|f|t|t|f
umrah_payment_allocations|t|t|t|t|t
umrah_payments|t|t|t|t|t
umrah_penalties|t|f|f|t|f
umrah_pilgrims|t|t|t|t|t
umrah_pricing|t|t|t|t|t
umrah_sales_invoice_items|t|t|t|t|t
umrah_sales_invoices|t|t|t|t|t
umrah_seasons|t|f|f|t|t
umrah_sub_agents|t|t|t|t|t
umrah_transport|t|f|t|t|t
umrah_violations|t|t|t|t|t
user_activity_log|t|f|f|t|f
user_roles|t|f|f|t|f
user_sessions|t|f|f|t|f
user_shortcuts|t|f|f|t|f
users|f|f|f|t|f
vouchers|t|t|f|t|t
warehouse_categories|t|f|t|t|f
warehouse_movements|t|t|f|t|f
warehouse_products|t|t|t|t|t
warehouse_stock_batches|f|f|f|t|f
whatsapp_queue|t|f|f|t|t
workflow_definitions|t|f|f|t|t
workflow_instances|t|t|t|t|t
workflow_requests|t|f|f|t|t
workflow_step_actions|f|f|f|t|f
workflow_steps|f|f|f|t|f
workflows|t|f|f|t|f
zatca_settings|t|f|f|t|t
zatca_submission_log|t|f|f|t|f
